video_id,title,published_at,duration,duration_sec,view_count,like_count,comment_count,like_rate,comment_rate,corner,is_middleform,collected_at
TUWUlrydGes,SNL 코리아 시즌4 | 성시경 편 하이라이트 | 고독한 애주가 | 쿠팡플레이 | 쿠팡,2023-08-20T10:00:17Z,PT4M38S,278,3650897,22058,1458,0.6042,0.0399,기타SNL,False,2026-05-19T03:49:38.063749+00:00
K9pbzvocS9U,SNL 코리아 시즌 4 | 성시경 편 | 8월 19일(토) 저녁 8시 | 쿠팡플레이 | 쿠팡,2023-08-19T03:00:17Z,PT51S,51,31347,518,64,1.6525,0.2042,기타SNL,False,2026-05-19T03:49:38.063764+00:00
WRmMcjR5TuA,SNL 코리아 시즌4 | 이다희 편 | D.P 연애이탈체포조 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-08-17T09:30:17Z,PT43S,43,568041,6845,170,1.205,0.0299,기타SNL,False,2026-05-19T03:49:38.063779+00:00
WvPjmbAcJTE,SNL 코리아 시즌4 | 이다희 편 | 오프닝 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-08-17T09:30:16Z,PT38S,38,644642,4215,83,0.6539,0.0129,기타SNL,False,2026-05-19T03:49:38.063793+00:00
dD8YTccAs9g,SNL 코리아 시즌4 | 이다희 편 | MZ오피스 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-08-17T09:30:09Z,PT1M,60,2515922,22743,241,0.904,0.0096,기타SNL,False,2026-05-19T03:49:38.063808+00:00
8HTuwc4RzgM,SNL 코리아 시즌4 | 이다희 편 | 워터밤 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-08-17T09:30:02Z,PT50S,50,646214,7233,154,1.1193,0.0238,기타SNL,False,2026-05-19T03:49:38.063822+00:00
gRR2hOY-9fE,SNL 코리아 시즌4 | 하이라이트 | 맑눈광이 간다 | 하태경 국민의힘 의원 | 쿠팡플레이 | 쿠팡,2023-08-13T09:30:08Z,PT4M48S,288,330179,3484,966,1.0552,0.2926,기타SNL,False,2026-05-19T03:49:38.063837+00:00
a-jK3_d6qBA,SNL 코리아 시즌4 | 이다희 편 하이라이트 | 엠티 인사이드 | 쿠팡플레이 | 쿠팡,2023-08-13T09:00:01Z,PT4M33S,273,2272635,9683,539,0.4261,0.0237,기타SNL,False,2026-05-19T03:49:38.063851+00:00
ohvPF_nKPsk,SNL 코리아 시즌4 | 이다희 편 하이라이트 | MZ오피스 | 쿠팡플레이 | 쿠팡,2023-08-13T08:30:24Z,PT4M19S,259,4720614,24199,960,0.5126,0.0203,기타SNL,False,2026-05-19T03:49:38.063866+00:00
KzxrQqVysAI,SNL 코리아 시즌4 | K-조기축구회 입단 심사 | 쿠팡플레이 코미디쇼 | 쿠팡 #shorts,2023-08-12T04:45:01Z,PT22S,22,913993,10742,120,1.1753,0.0131,기타SNL,False,2026-05-19T03:49:38.063881+00:00
-7pU-MQme8E,SNL 코리아 시즌 4 | 이다희 편 | 8월 12일(토) 저녁 8시 | 쿠팡플레이 | 쿠팡,2023-08-12T03:00:00Z,PT1M1S,61,35035,258,28,0.7364,0.0799,기타SNL,False,2026-05-19T03:49:38.063896+00:00
gLrg4CuWX30,SNL 코리아 시즌4 | 정우성 편 | 오프닝 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-08-08T10:00:37Z,PT49S,49,85047,1224,50,1.4392,0.0588,기타SNL,False,2026-05-19T03:49:38.063911+00:00
TtwNLzTUxmw,SNL 코리아 시즌4 | 정우성 편 | 정우성의 플러팅 가이드 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-08-08T10:00:31Z,PT40S,40,256009,4258,244,1.6632,0.0953,기타SNL,False,2026-05-19T03:49:38.063925+00:00
UKifqkfNgmo,SNL 코리아 시즌4 | 정우성 편 | 내 머리 속의 지우개 리메이크 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-08-08T10:00:18Z,PT56S,56,182498,2704,84,1.4817,0.046,기타SNL,False,2026-05-19T03:49:38.063940+00:00
cWz34Bm4aRo,SNL 코리아 시즌4 | 정우성 편 하이라이트 | 더 킹: 하남자 잔혹사 | 쿠팡플레이 | 쿠팡,2023-08-06T09:00:19Z,PT5M31S,331,2714600,17888,1860,0.659,0.0685,기타SNL,True,2026-05-19T03:49:38.063956+00:00
CrdwY1mD-Us,SNL 코리아 시즌4 | 정우성 편 하이라이트 | MZ오피스 | 쿠팡플레이 | 쿠팡,2023-08-06T08:30:03Z,PT4M58S,298,3485573,22796,2014,0.654,0.0578,기타SNL,False,2026-05-19T03:49:38.063970+00:00
5zt_KRuQelw,SNL 코리아 시즌4 | 맑간다 | 덕하! 많관부~👋 | 쿠팡플레이 코미디쇼 | 쿠팡 #shorts,2023-08-05T04:00:03Z,PT14S,14,1570054,28938,529,1.8431,0.0337,기타SNL,False,2026-05-19T03:49:38.063987+00:00
8J3GR2SxiL8,SNL 코리아 시즌 4 | 정우성 편 | 8월 5일(토) 저녁 8시 | 쿠팡플레이 | 쿠팡,2023-08-05T03:00:10Z,PT1M,60,45944,655,86,1.4256,0.1872,기타SNL,False,2026-05-19T03:49:38.064002+00:00
x7Y0W1ZLI1A,SNL 코리아 시즌4 | 고규필 편 | 세기말 플러팅 | 쿠팡플레이 코미디쇼 | 쿠팡 #shorts,2023-08-02T09:00:40Z,PT1M,60,129248,1537,46,1.1892,0.0356,기타SNL,False,2026-05-19T03:49:38.064016+00:00
tNg-flewjP8,SNL 코리아 시즌4 | 고규필 편 | 축산팅 | 쿠팡플레이 코미디쇼 | 쿠팡 #shorts,2023-08-02T09:00:37Z,PT49S,49,408819,4626,124,1.1316,0.0303,기타SNL,False,2026-05-19T03:49:38.064031+00:00
Nr3oWVGa_Qc,SNL 코리아 시즌4 | 고규필 편 | MZ오피스 | 쿠팡플레이 코미디쇼 | 쿠팡 #shorts,2023-08-02T09:00:13Z,PT48S,48,109071,1007,29,0.9233,0.0266,기타SNL,False,2026-05-19T03:49:38.064045+00:00
1WkfYK-vzbM,SNL 코리아 시즌4 | 고규필 편 | 호러하우스 | 쿠팡플레이 코미디쇼 | 쿠팡 #shorts,2023-08-02T09:00:01Z,PT47S,47,478327,4105,116,0.8582,0.0243,기타SNL,False,2026-05-19T03:49:38.064060+00:00
AQVIh0u4oEM,SNL 코리아 시즌4 | 하이라이트 | 맑눈광이 간다 | 금태섭 전 국회의원 | 쿠팡플레이 | 쿠팡,2023-07-30T11:20:12Z,PT3M37S,217,120598,1008,156,0.8358,0.1294,기타SNL,False,2026-05-19T03:49:38.064091+00:00
En6wrM5GHcc,SNL 코리아 시즌4 | 고규필 편 하이라이트 | 경범죄도시 | 쿠팡플레이 | 쿠팡,2023-07-30T09:00:13Z,PT5M16S,316,7158341,29271,1139,0.4089,0.0159,기타SNL,True,2026-05-19T03:49:38.064105+00:00
g_cvNo-zo28,SNL 코리아 시즌4 | 고규필 편 하이라이트 | MZ오피스 | 쿠팡플레이 | 쿠팡,2023-07-30T08:30:12Z,PT4M59S,299,3068998,13730,645,0.4474,0.021,기타SNL,False,2026-05-19T03:49:38.064120+00:00
H9_jCoTf6e4,SNL 코리아 시즌 4 | 고규필 편 | 7월 29일(토) 저녁 8시 | 쿠팡플레이 | 쿠팡,2023-07-29T03:00:14Z,PT1M9S,69,21089,219,31,1.0385,0.147,기타SNL,False,2026-05-19T03:49:38.064135+00:00
f-OZiJE5Y90,SNL 코리아 시즌4 | 한예리 편 | 위켄드 업데이트 | 쿠팡플레이 코미디쇼 | 쿠팡 #shorts,2023-07-28T09:30:10Z,PT1M,60,173948,2457,79,1.4125,0.0454,위켄드 업데이트,False,2026-05-19T03:49:38.064147+00:00
cEqYR16hkRc,SNL 코리아 시즌4 | 한예리 편 | 이제 만나(지)러 갑니다 | 쿠팡플레이 코미디쇼 | 쿠팡 #shorts,2023-07-28T09:00:34Z,PT59S,59,59010,444,8,0.7524,0.0136,기타SNL,False,2026-05-19T03:49:38.064162+00:00
e-1Tx01CvZ4,SNL 코리아 시즌4 | 한예리 편 | 오프닝 | 쿠팡플레이 코미디쇼 | 쿠팡 #shorts,2023-07-28T08:30:09Z,PT42S,42,335087,2479,60,0.7398,0.0179,기타SNL,False,2026-05-19T03:49:38.064177+00:00
oCbsfronkYg,SNL 코리아 시즌4 | 한예리 편 | 우아한 추심 | 쿠팡플레이 코미디쇼 | 쿠팡 #shorts,2023-07-28T08:00:21Z,PT59S,59,47290,525,5,1.1102,0.0106,기타SNL,False,2026-05-19T03:49:38.064191+00:00
tlZI6nFVYDk,SNL 코리아 시즌4 | 한예리 편 하이라이트 | 알바니까 청춘이다 | 쿠팡플레이 | 쿠팡,2023-07-23T10:00:44Z,PT3M54S,234,2465038,11637,529,0.4721,0.0215,기타SNL,False,2026-05-19T03:49:38.064253+00:00
wZPSb6AE1SA,SNL 코리아 시즌4 | 한예리 편 하이라이트 | 호러 하우스 | 쿠팡플레이 | 쿠팡,2023-07-23T09:00:29Z,PT4M8S,248,910200,6562,244,0.7209,0.0268,기타SNL,False,2026-05-19T03:49:38.064267+00:00
YCxwj20WwXc,SNL 코리아 시즌4 | 하이라이트 | 맑눈광이 간다 | 김종인 전 비대위원장 | 쿠팡플레이 | 쿠팡,2023-07-23T09:00:23Z,PT3M17S,197,749617,7110,705,0.9485,0.094,기타SNL,False,2026-05-19T03:49:38.306366+00:00
4_n4GUuFxsQ,SNL 코리아 시즌 4 | 한예리 편 | 7월 22일 쿠팡플레이에서 만나요 | 쿠팡플레이 | 쿠팡,2023-07-22T09:48:21Z,PT54S,54,16788,148,17,0.8816,0.1013,기타SNL,False,2026-05-19T03:49:38.306446+00:00
MTjfx46K0QI,SNL 코리아 시즌4 | 정우 편 | 세기말 오디세이아 | 쿠팡플레이 코미디쇼 | 쿠팡 #shorts,2023-07-21T09:00:16Z,PT1M,60,65361,708,34,1.0832,0.052,기타SNL,False,2026-05-19T03:49:38.306601+00:00
